par_comb,phi_0_init,gamma_init,lambda_init,phi_0_hat,gamma_hat,lambda_hat,phi_0_SE,gamma_SE,lambda_SE,phi_0_gamma_cor,phi_0_lambda_cor,gamma_lambda_cor,M_final,num_iters,log_LR_estimates,phi_0_SE_sign,gamma_SE_sign,lambda_SE_sign
21,3.0,0.01,0.2,0.3611045646348931,0.06647556754369023,0.05918397701746018,0.031426015338590844,0.0036143406803323865,0.0024170677588998034,0.8611094415473469,0.0036754537178032027,0.00012379782846894504,66,145,46.21265878592306,1.0,1.0,1.0
22,3.0,0.1,0.05,0.34038877266189155,0.06881165566597264,0.05050822890298415,0.028173261993932813,0.003503346770555343,0.0020666881093988625,0.84410436200634,0.007025613284757311,0.0035988801662122437,945,31,-2.890339800099372,1.0,1.0,1.0
22,3.0,0.1,0.05,0.3618659505422137,0.06169937578563446,0.07709484374553593,0.030402464876821883,0.004323821045429216,0.011329793036023106,0.5568675053973102,0.1954567514084149,-0.5548180810981763,524,85,95.51934219358839,1.0,1.0,1.0
23,3.0,0.1,0.1,0.3234336547899229,0.058761604253905995,0.07518947888877885,0.027378296718693917,0.003507139954696356,0.0035739043983037473,0.8237093932623909,0.007624367700512411,-0.09389980875907039,570,53,92.37290927081499,1.0,1.0,1.0
23,3.0,0.1,0.1,0.3385178826441744,0.05810175402935573,0.08166443431863357,0.05647561244249425,0.00839881057944881,0.0088118905131605,0.9639730618778294,-0.7966024180295549,-0.8375135746035168,1029,93,101.84698286455172,1.0,1.0,1.0
24,3.0,0.1,0.2,0.3346309950158767,0.06504269032537711,0.0579273616812844,0.027423574039018548,0.0034460830112441458,0.0023581577511297205,0.8381273552344595,-0.00017693202712702315,-0.00744329185467585,206,138,39.062279101303076,1.0,1.0,1.0
24,3.0,0.1,0.2,0.3474242117807103,0.05821425422259994,0.0846418444249796,0.026511122388521772,0.003434970899640266,0.0034066229856637535,0.815593665119062,3.2253091627184414e-5,-7.410826164968349e-5,1080,79,104.15669136648394,1.0,1.0,1.0
25,3.0,0.5,0.05,0.3294042922709769,0.07081546652110668,0.042132991144268855,0.04543458265629363,0.004653308487234955,0.005303476881130145,0.9157014407483874,-0.7484617538287655,-0.6454716837081309,71,114,-57.662615435483055,1.0,1.0,1.0
25,3.0,0.5,0.05,0.3318087279738124,0.06799961551077244,0.052525587503630226,0.02681521921654929,0.003379514622447906,0.0022585027467242496,0.8266504227303739,0.030877973180703247,-0.014311466859777468,139,90,6.8218246725255955,1.0,1.0,1.0
26,3.0,0.5,0.1,0.34181719258497933,0.0609529946531535,0.0710362195068569,0.02847826961822299,0.0035677574429614314,0.002902815466045565,0.8168176269384019,-0.02036423525832269,0.007497243537863901,405,80,84.98041450709226,1.0,1.0,1.0
26,3.0,0.5,0.1,0.3425730666287963,0.06286174192067047,0.06652908409541956,0.11381481047338855,0.019060478136678,0.02066460887656138,0.9909482410798471,-0.9636595331751389,-0.9757329811976665,201,125,72.23659535958076,1.0,1.0,1.0
27,3.0,0.5,0.2,0.34040062957815376,0.06042122301812891,0.07475291226654764,0.027464457008665965,0.00352350441216634,0.0031019111516961944,0.8347989732616252,-0.013758619425100626,-0.027924770867036403,600,125,91.8633274903368,1.0,1.0,1.0
27,3.0,0.5,0.2,0.3295760935868104,0.06353707177449296,0.06229800791049894,0.03278846959138567,0.0036715732028916688,0.0027713706347573266,0.8339744840564763,0.17977550180205917,0.05420863551253749,332,105,56.40819628669184,1.0,1.0,1.0
